image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.833296,truck,bus,False
drive_022,2,2,0.908885,bus,van,False
drive_022,3,1,0.908292,car,car,True
drive_022,4,3,0.812917,car,car,True
drive_033,4,8,0.868559,car,car,True
drive_033,5,10,0.791849,car,car,True
drive_033,6,12,0.921235,bus,van,False
drive_033,8,1,0.981505,bus,van,False
drive_033,9,2,0.834477,truck,bus,False
drive_033,10,3,0.859533,car,car,True
drive_033,11,11,0.89515,car,car,True
drive_033,12,7,0.881137,car,car,True
drive_033,13,6,0.840003,car,car,True
drive_033,14,4,0.739249,car,car,True
drive_033,15,9,0.838737,car,car,True
drive_033,16,5,0.859961,car,car,True
drive_038,3,4,0.898491,car,car,True
drive_038,4,1,0.926678,car,car,True
drive_038,5,2,0.941998,car,car,True
drive_038,6,3,0.946666,car,car,True
drive_008,1,15,0.185098,car,car,True
drive_008,2,6,0.87435,car,car,True
drive_008,3,1,0.823158,truck,bus,False
drive_008,5,2,0.097667,bus,car,False
drive_008,6,9,0.946138,bus,van,False
drive_008,8,11,0.93624,car,car,True
drive_008,9,12,0.862786,van,truck,False
drive_008,10,3,0.917013,van,truck,False
drive_008,11,16,0.927712,car,car,True
